"Date(UTC)","Market","Type","Price","Amount","Total","Fee","Fee Coin"
"2018-08-31 20:12:52","REPETH","BUY","0.06892","3.027","0.20862084","0.00406253","BNB"
"2018-08-31 18:50:30","REPETH","BUY","0.07049","2.819","0.19871131","0.00389147","BNB"
"2018-08-31 17:23:41","EOSBNB","SELL","0.5947","7.57","4.50187900","0.00337641","BNB"
"2018-08-31 11:26:02","BNBETH","SELL","0.03846","3.16","0.12153360","0.00236948","BNB"
"2018-08-31 11:26:02","BNBETH","SELL","0.03846","4","0.15384000","0.00299943","BNB"
"2018-08-30 19:34:04","REPETH","SELL","0.0713","0.001","0.00007130","0.00000138","BNB"
"2018-08-30 19:33:15","REPETH","SELL","0.0713","2.487","0.17732310","0.00349653","BNB"
"2018-08-30 19:33:14","REPETH","SELL","0.0713","0.343","0.02445590","0.00048231","BNB"
"2018-08-30 11:41:07","REPETH","BUY","0.06974","2.834","0.19764316","0.00391715","BNB"
"2018-08-30 08:55:48","BNBBTC","BUY","0.001533","12.9","0.01977570","0.009675","BNB"
"2018-08-30 08:55:48","BNBBTC","BUY","0.001533","7.54","0.01155882","0.005655","BNB"
"2018-08-30 08:55:48","BNBBTC","BUY","0.001533","2.07","0.00317331","0.0015525","BNB"
"2018-08-29 11:52:56","EOSBNB","SELL","0.5694","7.21","4.10537400","0.00307902","BNB"
"2018-08-29 09:29:31","EOSBNB","SELL","0.5446","6.87","3.74140200","0.00280605","BNB"
"2018-08-29 03:47:14","EOSBNB","SELL","0.531","6.54","3.47274000","0.00260455","BNB"
"2018-08-29 02:09:26","ZENETH","BUY","0.06568","2.475","0.16255800","0.00318784","BNB"
"2018-08-28 19:11:08","EOSBNB","SELL","0.5174","6.23","3.22340200","0.00241755","BNB"
"2018-08-28 18:38:29","EOSBNB","SELL","0.5038","5.93","2.98753400","0.00224064","BNB"
"2018-08-28 13:17:53","ZENETH","BUY","0.06721","2.304","0.15485184","0.00302083","BNB"
"2018-08-28 08:28:31","REPETH","SELL","0.0713","1.239","0.08834070","0.00171027","BNB"
"2018-08-28 08:26:20","REPETH","SELL","0.0713","0.048","0.00342240","0.00006612","BNB"
"2018-08-28 08:26:18","REPETH","SELL","0.0713","0.048","0.00342240","0.00006612","BNB"
"2018-08-28 08:26:17","REPETH","SELL","0.0713","0.048","0.00342240","0.00006612","BNB"
"2018-08-28 08:26:16","REPETH","SELL","0.0713","0.048","0.00342240","0.00006612","BNB"
"2018-08-28 08:26:15","REPETH","SELL","0.0713","0.048","0.00342240","0.00006612","BNB"
"2018-08-28 08:26:14","REPETH","SELL","0.0713","0.048","0.00342240","0.00006612","BNB"
"2018-08-28 08:26:13","REPETH","SELL","0.0713","0.048","0.00342240","0.00006612","BNB"
"2018-08-28 08:26:12","REPETH","SELL","0.0713","0.048","0.00342240","0.00006612","BNB"
"2018-08-28 08:26:11","REPETH","SELL","0.0713","0.048","0.00342240","0.00006612","BNB"
"2018-08-28 08:26:11","REPETH","SELL","0.0713","0.044","0.00313720","0.0000607","BNB"
"2018-08-28 08:26:11","REPETH","SELL","0.0713","0.048","0.00342240","0.00006612","BNB"
"2018-08-28 08:26:10","REPETH","SELL","0.0713","0.048","0.00342240","0.00006611","BNB"
"2018-08-28 08:26:10","REPETH","SELL","0.0713","0.071","0.00506230","0.00009781","BNB"
"2018-08-28 08:26:06","REPETH","SELL","0.0713","0.949","0.06766370","0.00130826","BNB"
"2018-08-28 05:28:40","ZENETH","BUY","0.06874","2.145","0.14744730","0.00285014","BNB"
"2018-08-28 02:53:01","EOSBNB","SELL","0.4901","4.86","2.38188600","0.00178641","BNB"
"2018-08-28 02:53:01","EOSBNB","SELL","0.4901","0.79","0.38717900","0.00029038","BNB"
"2018-08-27 19:37:38","XMRETH","SELL","0.3585","0.42","0.15057000","0.00286455","BNB"
"2018-08-27 18:00:10","XMRETH","BUY","0.3505","0.42","0.14721000","0.00278466","BNB"
"2018-08-27 16:39:51","BNBBTC","SELL","0.001634","6.34","0.01035956","0.00475548","BNB"
"2018-08-27 16:39:16","BNBBTC","SELL","0.001634","1.52","0.00248368","0.00113844","BNB"
"2018-08-27 14:43:05","EOSBNB","BUY","0.4787","5.66","2.70944200","0.00203735","BNB"
"2018-08-27 12:05:53","EOSBNB","SELL","0.4901","5.65","2.76906500","0.0020768","BNB"
"2018-08-27 11:59:03","EOSBNB","BUY","0.4856","11.6","5.63296000","0.00422336","BNB"
"2018-08-27 05:40:33","BNBBTC","SELL","0.001567","7.49","0.01173683","0.00563628","BNB"
"2018-08-27 04:23:41","REPETH","BUY","0.06974","2.834","0.19764316","0.00397944","BNB"
"2018-08-27 04:20:52","EOSBNB","SELL","0.5038","5.93","2.98753400","0.00224064","BNB"
"2018-08-27 04:17:29","EOSBNB","SELL","0.4901","5.65","2.76906500","0.0020768","BNB"
"2018-08-26 12:34:27","EOSBNB","BUY","0.4836","0.33","0.15958800","0.00011988","BNB"
"2018-08-26 12:34:27","EOSBNB","BUY","0.4836","4.18","2.02144800","0.00151854","BNB"
"2018-08-26 09:30:20","XMRETH","SELL","0.3379","0.002","0.00067580","0.00001398","BNB"
"2018-08-26 09:30:04","XMRETH","SELL","0.3379","0.03","0.01013700","0.00020848","BNB"
"2018-08-25 23:29:28","XMRETH","BUY","0.3304","0.031","0.01024240","0.00021269","BNB"
"2018-08-25 23:29:08","XMRETH","BUY","0.3304","0.001","0.00033040","0.00000685","BNB"
"2018-08-25 21:54:15","EOSBNB","BUY","0.4836","1.14","0.55130400","0.00042348","BNB"
"2018-08-25 16:15:04","REPETH","SELL","0.06849","2.754","0.18862146","0.00391488","BNB"
"2018-08-25 16:14:32","REPETH","SELL","0.06849","0.011","0.00075339","0.00001556","BNB"
"2018-08-25 16:14:32","REPETH","SELL","0.06849","0.063","0.00431487","0.00008943","BNB"
"2018-08-25 16:14:31","REPETH","SELL","0.06849","0.009","0.00061641","0.00001286","BNB"
"2018-08-25 16:14:30","REPETH","SELL","0.06849","0.011","0.00075339","0.00001555","BNB"
"2018-08-25 16:14:30","REPETH","SELL","0.06849","0.009","0.00061641","0.00001286","BNB"
"2018-08-25 16:14:30","REPETH","SELL","0.06849","0.011","0.00075339","0.00001555","BNB"
"2018-08-25 16:14:28","REPETH","SELL","0.06849","0.011","0.00075339","0.00001555","BNB"
"2018-08-25 16:14:28","REPETH","SELL","0.06849","0.011","0.00075339","0.00001556","BNB"
"2018-08-25 16:14:27","REPETH","SELL","0.06849","0.011","0.00075339","0.00001556","BNB"
"2018-08-25 16:14:26","REPETH","SELL","0.06849","0.01","0.00068490","0.0000141","BNB"
"2018-08-25 16:14:25","REPETH","SELL","0.06849","0.011","0.00075339","0.00001555","BNB"
"2018-08-25 16:14:25","REPETH","SELL","0.06849","0.008","0.00054792","0.0000114","BNB"
"2018-08-25 16:14:24","REPETH","SELL","0.06849","0.011","0.00075339","0.00001555","BNB"
"2018-08-25 14:09:08","REPETH","BUY","0.06699","2.944","0.19721856","0.00410728","BNB"
"2018-08-25 03:32:59","REPETH","SELL","0.06849","1.349","0.09239301","0.00191667","BNB"
"2018-08-25 03:32:22","REPETH","SELL","0.06849","0.107","0.00732843","0.00015219","BNB"
"2018-08-25 03:21:50","REPETH","SELL","0.06849","0.01","0.00068490","0.00001413","BNB"
"2018-08-25 03:21:50","REPETH","SELL","0.06849","0.007","0.00047943","0.00000998","BNB"
"2018-08-25 03:21:49","REPETH","SELL","0.06849","0.011","0.00075339","0.00001559","BNB"
"2018-08-25 03:21:49","REPETH","SELL","0.06849","0.114","0.00780786","0.00016242","BNB"
"2018-08-25 03:21:49","REPETH","SELL","0.06849","0.131","0.00897219","0.00018655","BNB"
"2018-08-25 03:21:49","REPETH","SELL","0.06849","0.131","0.00897219","0.00018655","BNB"
"2018-08-25 03:21:48","REPETH","SELL","0.06849","0.131","0.00897219","0.00018655","BNB"
"2018-08-25 03:21:48","REPETH","SELL","0.06849","0.09","0.00616410","0.00012811","BNB"
"2018-08-25 03:21:48","REPETH","SELL","0.06849","0.119","0.00815031","0.00016945","BNB"
"2018-08-25 03:21:48","REPETH","SELL","0.06849","0.071","0.00486279","0.00010104","BNB"
"2018-08-25 03:21:48","REPETH","SELL","0.06849","0.071","0.00486279","0.00010104","BNB"
"2018-08-25 03:21:47","REPETH","SELL","0.06849","0.071","0.00486279","0.00010104","BNB"
"2018-08-25 03:21:47","REPETH","SELL","0.06849","0.048","0.00328752","0.0000684","BNB"
"2018-08-25 03:21:47","REPETH","SELL","0.06849","0.01","0.00068490","0.00001413","BNB"
"2018-08-25 03:21:47","REPETH","SELL","0.06849","0.106","0.00725994","0.00015095","BNB"
"2018-08-25 03:21:18","REPETH","SELL","0.06849","0.12","0.00821880","0.00017094","BNB"
"2018-08-25 03:21:16","REPETH","SELL","0.06849","0.131","0.00897219","0.00018654","BNB"
"2018-08-25 03:21:15","REPETH","SELL","0.06849","0.113","0.00773937","0.00016096","BNB"
"2018-08-24 16:56:49","EOSBNB","SELL","0.4951","5.64","2.79236400","0.00209427","BNB"
"2018-08-24 16:09:58","EOSBNB","BUY","0.484","23.54","11.39336000","0.00854514","BNB"
"2018-08-24 16:09:58","EOSBNB","BUY","0.484","0.81","0.39204000","0.00029403","BNB"
"2018-08-24 12:52:08","XMRETH","SELL","0.3287","0.453","0.14890110","0.00316034","BNB"
"2018-08-24 12:52:08","XMRETH","SELL","0.3287","0.003","0.00098610","0.000021","BNB"
"2018-08-24 11:58:04","BNBBTC","SELL","0.0015","7.13","0.01069500","0.00536","BNB"
"2018-08-24 08:45:04","BNBBTC","BUY","0.001464","7.14","0.01045296","0.005355","BNB"
"2018-08-24 07:31:11","REPETH","BUY","0.06699","2.944","0.19721856","0.00424758","BNB"
"2018-08-24 06:03:42","XMRETH","BUY","0.3214","0.456","0.14655840","0.00314286","BNB"
"2018-08-24 03:52:13","BNBETH","SELL","0.03523","4.2","0.14796600","0.0031503","BNB"
"2018-08-24 00:57:35","REPETH","SELL","0.06951","0.001","0.00006951","0.00000148","BNB"
"2018-08-24 00:44:32","REPETH","SELL","0.06951","2.892","0.20102292","0.00427595","BNB"
"2018-08-23 23:59:24","BNBBTC","SELL","0.0015","7.13","0.01069500","0.00535178","BNB"
"2018-08-23 09:14:44","REPETH","BUY","0.06799","2.896","0.19689904","0.00426576","BNB"
"2018-08-23 01:29:51","BNBETH","BUY","0.03464","4.21","0.14583440","0.0031575","BNB"
"2018-08-22 22:12:58","BNBBTC","BUY","0.001464","7.14","0.01045296","0.005355","BNB"
"2018-08-22 21:07:17","REPETH","SELL","0.06951","2.857","0.19859007","0.00422213","BNB"
"2018-08-22 21:06:29","REPETH","SELL","0.06951","0.01","0.00069510","0.00001488","BNB"
"2018-08-22 21:06:29","REPETH","SELL","0.06951","0.009","0.00062559","0.00001338","BNB"
"2018-08-22 21:06:28","REPETH","SELL","0.06951","0.009","0.00062559","0.00001338","BNB"
"2018-08-22 21:06:28","REPETH","SELL","0.06951","0.008","0.00055608","0.0000119","BNB"
"2018-08-22 16:00:05","BNBETH","SELL","0.03543","4.2","0.14880600","0.00315699","BNB"
"2018-08-22 11:45:51","REPETH","BUY","0.06799","0.001","0.00006799","0.00000146","BNB"
"2018-08-22 11:36:43","REPETH","BUY","0.06799","1.306","0.08879494","0.00191941","BNB"
"2018-08-22 11:36:43","REPETH","BUY","0.06799","1.588","0.10796812","0.00233387","BNB"
"2018-08-22 11:33:37","REPETH","BUY","0.06799","0.001","0.00006799","0.00000146","BNB"
"2018-08-21 23:10:09","BNBBTC","SELL","0.0015","7.13","0.01069500","0.00535035","BNB"
"2018-08-21 16:51:42","REPETH","SELL","0.06645","0.001","0.00006645","0.00000151","BNB"
"2018-08-21 16:51:25","REPETH","SELL","0.06645","0.867","0.05761215","0.00125254","BNB"
"2018-08-21 16:51:23","REPETH","SELL","0.06645","2.153","0.14306685","0.00311061","BNB"
"2018-08-21 13:50:55","BNBBTC","BUY","0.001485","7.13","0.01058805","0.0053475","BNB"
"2018-08-21 09:54:00","REPETH","BUY","0.06499","3.024","0.19652976","0.0042721","BNB"
"2018-08-21 05:59:19","BNBETH","BUY","0.03464","0.01","0.00034640","0.0000075","BNB"
"2018-08-21 05:59:19","BNBETH","BUY","0.03464","4.2","0.14548800","0.00315","BNB"
"2018-08-21 05:32:29","BNBBTC","SELL","0.001521","7.12","0.01082952","0.00534058","BNB"
"2018-08-20 22:15:16","BNBETH","SELL","0.03499","3.7","0.12946300","0.00277116","BNB"
"2018-08-20 22:15:16","BNBETH","SELL","0.03499","0.01","0.00034990","0.00000748","BNB"
"2018-08-20 22:15:16","BNBETH","SELL","0.03499","9.64","0.33730360","0.00722009","BNB"
"2018-08-20 19:49:39","REPETH","SELL","0.06415","3.125","0.20046875","0.00440414","BNB"
"2018-08-20 10:34:27","REPETH","BUY","0.06274","3.128","0.19625072","0.00435735","BNB"
"2018-08-20 09:40:53","BNBBTC","BUY","0.001518","7.13","0.01082334","0.0053475","BNB"
"2018-08-20 08:43:08","REPETH","SELL","0.06353","0.001","0.00006353","0.00000132","BNB"
"2018-08-20 08:42:51","REPETH","SELL","0.06353","0.581","0.03691093","0.00082113","BNB"
"2018-08-20 05:10:05","REPETH","SELL","0.06353","0.128","0.00813184","0.00018209","BNB"
"2018-08-20 05:10:03","REPETH","SELL","0.06353","0.049","0.00311297","0.00006965","BNB"
"2018-08-20 05:10:02","REPETH","SELL","0.06353","0.05","0.00317650","0.00007122","BNB"
"2018-08-20 05:10:01","REPETH","SELL","0.06353","0.045","0.00285885","0.00006405","BNB"
"2018-08-20 05:10:01","REPETH","SELL","0.06353","0.09","0.00571770","0.00012819","BNB"
"2018-08-20 05:10:00","REPETH","SELL","0.06353","0.09","0.00571770","0.00012819","BNB"
"2018-08-20 05:10:00","REPETH","SELL","0.06353","0.066","0.00419298","0.0000939","BNB"
"2018-08-20 05:10:00","REPETH","SELL","0.06353","0.05","0.00317650","0.00007126","BNB"
"2018-08-20 05:09:59","REPETH","SELL","0.06353","0.079","0.00501887","0.0001125","BNB"
"2018-08-20 05:09:59","REPETH","SELL","0.06353","0.038","0.00241414","0.000054","BNB"
"2018-08-20 05:09:58","REPETH","SELL","0.06353","0.042","0.00266826","0.00005983","BNB"
"2018-08-20 05:08:19","REPETH","SELL","0.06353","1.844","0.11714932","0.00262452","BNB"
"2018-08-19 20:04:32","REPETH","BUY","0.06214","3.153","0.19592742","0.00436457","BNB"
"2018-08-19 13:55:22","REPETH","SELL","0.06261","2.803","0.17549583","0.00391277","BNB"
"2018-08-19 13:54:10","REPETH","SELL","0.06261","0.213","0.01333593","0.00029742","BNB"
"2018-08-19 13:53:46","REPETH","SELL","0.06261","0.091","0.00569751","0.00012693","BNB"
"2018-08-19 13:52:51","REPETH","SELL","0.06261","0.033","0.00206613","0.00004594","BNB"
"2018-08-19 13:52:51","REPETH","SELL","0.06261","0.051","0.00319311","0.0000708","BNB"
"2018-08-18 21:30:59","BNBBTC","SELL","0.001555","7.12","0.01107160","0.00534989","BNB"
"2018-08-18 16:05:34","REPETH","BUY","0.06124","3.194","0.19560056","0.00438497","BNB"
"2018-08-18 15:29:41","BNBBTC","BUY","0.001518","0.08","0.00012144","0.00006","BNB"
"2018-08-18 15:29:41","BNBBTC","BUY","0.001518","6.61","0.01003398","0.0049575","BNB"
"2018-08-18 15:29:40","BNBBTC","BUY","0.001518","0.06","0.00009108","0.000045","BNB"
"2018-08-18 15:29:39","BNBBTC","BUY","0.001518","0.05","0.00007590","0.0000375","BNB"
"2018-08-18 15:29:38","BNBBTC","BUY","0.001518","0.08","0.00012144","0.00006","BNB"
"2018-08-18 15:29:38","BNBBTC","BUY","0.001518","0.07","0.00010626","0.0000525","BNB"
"2018-08-18 15:29:38","BNBBTC","BUY","0.001518","0.05","0.00007590","0.0000375","BNB"
"2018-08-18 15:29:37","BNBBTC","BUY","0.001518","0.02","0.00003036","0.000015","BNB"
"2018-08-18 15:29:36","BNBBTC","BUY","0.001518","0.07","0.00010626","0.0000525","BNB"
"2018-08-18 15:29:34","BNBBTC","BUY","0.001518","0.04","0.00006072","0.00003","BNB"
"2018-08-18 15:04:25","REPETH","SELL","0.06289","6.48","0.40752720","0.00910845","BNB"
"2018-08-18 08:28:17","REPETH","BUY","0.06051","3.376","0.20428176","0.00461852","BNB"
"2018-08-18 08:28:17","REPETH","BUY","0.06051","0.001","0.00006051","0.00000136","BNB"
"2018-08-18 07:08:44","BNBBTC","SELL","0.001555","0.63","0.00097965","0.00047266","BNB"
"2018-08-18 07:08:44","BNBBTC","SELL","0.001555","3.21","0.00499155","0.00240675","BNB"
"2018-08-18 07:08:41","BNBBTC","SELL","0.001555","0.1","0.00015550","0.00007725","BNB"
"2018-08-18 07:08:40","BNBBTC","SELL","0.001555","3.18","0.00494490","0.00238524","BNB"
"2018-08-18 06:59:19","BNBBTC","BUY","0.001558","22.48","0.03502384","0.01686","BNB"
"2018-08-18 05:26:20","REPETH","BUY","0.0626","3.109","0.19462340","0.00440324","BNB"
"2018-08-18 03:01:47","REPETH","SELL","0.064","3.106","0.19878400","0.00441587","BNB"
"2018-08-18 01:06:54","BNBBTC","SELL","0.001662","7.85","0.01304670","0.00589323","BNB"
"2018-08-17 21:45:50","EOSBNB","SELL","0.5144","4.57","2.35080800","0.0017631","BNB"
"2018-08-17 21:45:50","EOSBNB","SELL","0.5144","1.96","1.00822400","0.00075616","BNB"
"2018-08-17 18:09:27","REPETH","BUY","0.0626","3.109","0.19462340","0.00432096","BNB"
"2018-08-17 17:56:01","REPETH","SELL","0.06265","3.008","0.18845120","0.00414702","BNB"
"2018-08-17 17:34:44","REPETH","SELL","0.06307","0.485","0.03058895","0.00067026","BNB"
"2018-08-17 17:28:15","REPETH","SELL","0.06307","0.22","0.01387540","0.00030388","BNB"
"2018-08-17 17:28:12","REPETH","SELL","0.06307","0.22","0.01387540","0.00030366","BNB"
"2018-08-17 17:28:11","REPETH","SELL","0.06307","0.22","0.01387540","0.00030366","BNB"
"2018-08-17 17:28:09","REPETH","SELL","0.06307","0.22","0.01387540","0.00030366","BNB"
"2018-08-17 17:26:06","REPETH","SELL","0.06307","0.555","0.03500385","0.00076565","BNB"
"2018-08-17 17:25:45","REPETH","SELL","0.06307","0.22","0.01387540","0.00030335","BNB"
"2018-08-17 17:24:49","REPETH","SELL","0.06307","0.22","0.01387540","0.00030342","BNB"
"2018-08-17 17:24:48","REPETH","SELL","0.06307","0.22","0.01387540","0.00030348","BNB"
"2018-08-17 17:24:45","REPETH","SELL","0.06307","0.22","0.01387540","0.00030348","BNB"
"2018-08-17 17:24:00","REPETH","SELL","0.06307","2.131","0.13440217","0.00294282","BNB"
"2018-08-17 17:24:00","REPETH","SELL","0.06307","2.131","0.13440217","0.00294282","BNB"
"2018-08-17 17:24:00","REPETH","SELL","0.06307","2.131","0.13440217","0.00294282","BNB"
"2018-08-17 17:23:49","REPETH","SELL","0.06307","7.058","0.44514806","0.00974551","BNB"
"2018-08-17 17:23:49","REPETH","SELL","0.06307","7.064","0.44552648","0.00975383","BNB"
"2018-08-17 17:23:44","REPETH","SELL","0.06307","0.22","0.01387540","0.00030393","BNB"
"2018-08-17 17:23:43","REPETH","SELL","0.06307","0.22","0.01387540","0.00030386","BNB"
"2018-08-17 17:23:41","REPETH","SELL","0.06307","0.14","0.00882980","0.0001933","BNB"
"2018-08-17 17:20:27","REPETH","SELL","0.06307","0.093","0.00586551","0.0001288","BNB"
"2018-08-17 17:20:26","REPETH","SELL","0.06307","0.012","0.00075684","0.00001666","BNB"
"2018-08-17 17:19:37","REPETH","SELL","0.06307","0.089","0.00561323","0.00012301","BNB"
"2018-08-17 17:19:36","REPETH","SELL","0.06307","0.133","0.00838831","0.00018396","BNB"
"2018-08-17 17:19:36","REPETH","SELL","0.06307","0.133","0.00838831","0.00018396","BNB"
"2018-08-17 17:19:35","REPETH","SELL","0.06307","0.133","0.00838831","0.00018406","BNB"
"2018-08-17 17:19:34","REPETH","SELL","0.06307","0.133","0.00838831","0.00018406","BNB"
"2018-08-17 17:19:34","REPETH","SELL","0.06307","0.133","0.00838831","0.00018406","BNB"
"2018-08-17 17:19:33","REPETH","SELL","0.06307","0.133","0.00838831","0.00018406","BNB"
"2018-08-17 17:19:33","REPETH","SELL","0.06307","0.133","0.00838831","0.00018406","BNB"
"2018-08-17 17:19:33","REPETH","SELL","0.06307","0.133","0.00838831","0.00018406","BNB"
"2018-08-17 17:19:32","REPETH","SELL","0.06307","0.133","0.00838831","0.00018406","BNB"
"2018-08-17 17:19:32","REPETH","SELL","0.06307","0.01","0.00063070","0.00001381","BNB"
"2018-08-17 17:19:31","REPETH","SELL","0.06307","0.22","0.01387540","0.00030442","BNB"
"2018-08-17 17:19:29","REPETH","SELL","0.06307","0.22","0.01387540","0.00030442","BNB"
"2018-08-17 17:19:26","REPETH","SELL","0.06307","0.22","0.01387540","0.00030442","BNB"
"2018-08-17 17:19:23","REPETH","SELL","0.06307","0.22","0.01387540","0.00030425","BNB"
"2018-08-17 17:19:20","REPETH","SELL","0.06307","0.22","0.01387540","0.00030425","BNB"
"2018-08-17 17:19:17","REPETH","SELL","0.06307","0.22","0.01387540","0.00030442","BNB"
"2018-08-17 16:38:36","EOSBNB","SELL","0.4988","0.01","0.00498800","0.00000374","BNB"
"2018-08-17 16:38:35","EOSBNB","SELL","0.4988","6.21","3.09754800","0.00232316","BNB"
"2018-08-17 06:59:46","EOSBNB","SELL","0.4832","0.14","0.06764800","0.00005073","BNB"
"2018-08-17 06:59:46","EOSBNB","SELL","0.4832","5.78","2.79289600","0.00209467","BNB"
"2018-08-17 04:06:21","BNBBTC","SELL","0.001594","7.48","0.01192312","0.00560958","BNB"
"2018-08-16 22:29:03","EOSBNB","SELL","0.4676","0.01","0.00467600","0.00000351","BNB"
"2018-08-16 22:27:22","EOSBNB","SELL","0.4676","5.63","2.63258800","0.00197444","BNB"
"2018-08-16 21:02:18","EOSBNB","BUY","0.4669","7.1","3.31499000","0.00249126","BNB"
"2018-08-16 21:02:04","EOSBNB","BUY","0.4669","10.71","5.00049900","0.00375369","BNB"
"2018-08-16 09:39:02","BNBBTC","SELL","0.001526","7.12","0.01086512","0.00534624","BNB"
"2018-08-16 00:58:50","REPETH","BUY","0.05424","4.97","0.26957280","0.00633503","BNB"
"2018-08-15 23:18:12","EOSBNB","SELL","0.4929","6.22","3.06583800","0.00229938","BNB"
"2018-08-15 20:40:01","BNBETH","BUY","0.03328","4.81","0.16007680","0.0036075","BNB"
"2018-08-15 16:15:16","BNBBTC","BUY","0.001538","7.11","0.01093518","0.0053325","BNB"
"2018-08-15 16:15:15","EOSBNB","SELL","0.4775","5.92","2.82680000","0.0021201","BNB"
"2018-08-15 15:54:06","BNBETH","BUY","0.03426","4.45","0.15245700","0.0033375","BNB"
"2018-08-15 13:42:38","BNBBTC","SELL","0.001576","7.1","0.01118960","0.00533127","BNB"
"2018-08-15 12:38:44","BNBBTC","BUY","0.001538","7.11","0.01093518","0.0053325","BNB"
