"Date(UTC)","Market","Type","Price","Amount","Total","Fee","Fee Coin"
"2018-05-28 22:15:03","ETCBTC","BUY","0.002003","1.38","0.00276414","0.00138","ETC"
"2018-05-28 08:56:55","ETCBTC","BUY","0.002015","1.31","0.00263965","0.00131","ETC"
"2018-05-28 07:39:55","ETCBTC","BUY","0.002027","1.24","0.00251348","0.00124","ETC"
"2018-05-28 05:47:37","ETCBTC","BUY","0.00204","1.17","0.00238680","0.00117","ETC"
"2018-05-27 18:50:38","ETCBTC","BUY","0.002052","1.11","0.00227772","0.00111","ETC"
"2018-05-26 12:18:07","ETCBTC","BUY","0.002064","1.05","0.00216720","0.00105","ETC"
"2018-05-26 06:01:12","ETCBTC","SELL","0.00207","5.86","0.01213020","0.00001213","BTC"
"2018-05-25 22:47:14","ETCBTC","BUY","0.002","1.32","0.00264000","0.00132","ETC"
"2018-05-25 17:47:03","ETCBTC","BUY","0.002013","1.24","0.00249612","0.00124","ETC"
"2018-05-25 17:34:18","ETCBTC","BUY","0.002025","1.18","0.00238950","0.00118","ETC"
"2018-05-25 16:23:40","ETCBTC","BUY","0.002037","1.12","0.00228144","0.00112","ETC"
"2018-05-25 14:48:33","ETCBTC","BUY","0.00205","1.06","0.00217300","0.00106","ETC"
"2018-05-25 11:49:12","EOSBTC","SELL","0.0016366","5.66","0.00926315","0.00000926","BTC"
"2018-05-25 11:05:33","EOSBTC","BUY","0.0015801","1.28","0.00202252","0.00128","EOS"
"2018-05-25 06:55:54","EOSBTC","BUY","0.0015913","1.21","0.00192547","0.00121","EOS"
"2018-05-25 06:51:23","EOSBTC","BUY","0.0016025","1.14","0.00182685","0.00114","EOS"
"2018-05-25 06:47:19","EOSBTC","BUY","0.0016137","1.08","0.00174279","0.00108","EOS"
"2018-05-25 03:35:01","EOSBTC","BUY","0.0016249","1.02","0.00165739","0.00102","EOS"
"2018-05-24 17:03:56","EOSBTC","SELL","0.0016046","1.05","0.00168483","0.00000168","BTC"
"2018-05-24 16:33:59","EOSBTC","BUY","0.0015699","1.06","0.00166409","0.00106","EOS"
"2018-05-24 12:57:31","EOSBTC","SELL","0.0014942","34.38","0.05137059","0.00005137","BTC"
"2018-05-23 16:07:00","EOSBTC","BUY","0.0013901","2.86","0.00397568","0.00286","EOS"
"2018-05-23 16:03:52","EOSBTC","BUY","0.0013998","2.7","0.00377946","0.0027","EOS"
"2018-05-23 15:46:43","EOSBTC","BUY","0.0014095","2.55","0.00359422","0.00255","EOS"
"2018-05-23 08:41:52","EOSBTC","BUY","0.0014192","2.42","0.00343446","0.00242","EOS"
"2018-05-23 08:39:25","EOSBTC","BUY","0.001429","2.29","0.00327241","0.00229","EOS"
"2018-05-23 07:51:10","EOSBTC","BUY","0.0014387","2.16","0.00310759","0.00216","EOS"
"2018-05-23 07:49:03","EOSBTC","BUY","0.0014484","2.05","0.00296922","0.00205","EOS"
"2018-05-23 07:43:11","EOSBTC","BUY","0.0014581","1.93","0.00281413","0.00193","EOS"
"2018-05-23 07:40:22","EOSBTC","BUY","0.0014678","1.83","0.00268607","0.00183","EOS"
"2018-05-23 07:39:35","EOSBTC","BUY","0.0014775","0.2","0.00029550","0.0002","EOS"
"2018-05-23 07:39:31","EOSBTC","BUY","0.0014775","1.53","0.00226057","0.00153","EOS"
"2018-05-23 07:30:43","EOSBTC","BUY","0.0014872","1.64","0.00243900","0.00164","EOS"
"2018-05-23 01:31:39","EOSBTC","BUY","0.001497","1.55","0.00232035","0.00155","EOS"
"2018-05-22 22:52:43","EOSBTC","BUY","0.0015067","1.47","0.00221484","0.00147","EOS"
"2018-05-22 22:46:39","EOSBTC","BUY","0.0015164","1.39","0.00210779","0.00139","EOS"
"2018-05-22 22:11:23","EOSBTC","BUY","0.0015261","1.31","0.00199919","0.00131","EOS"
"2018-05-22 21:40:19","EOSBTC","BUY","0.0015358","1.24","0.00190439","0.00124","EOS"
"2018-05-22 20:20:07","EOSBTC","BUY","0.0015455","1.18","0.00182369","0.00118","EOS"
"2018-05-22 19:08:47","EOSBTC","BUY","0.0015552","1.11","0.00172627","0.00111","EOS"
"2018-05-22 17:27:34","EOSBTC","BUY","0.0015649","1.05","0.00164314","0.00105","EOS"
"2018-05-22 16:25:31","EOSBTC","SELL","0.0015838","2.48","0.00392782","0.00000393","BTC"
"2018-05-22 08:57:57","EOSBTC","BUY","0.0015446","1.27","0.00196164","0.00127","EOS"
"2018-05-22 08:43:40","EOSBTC","BUY","0.0015549","1.21","0.00188142","0.00121","EOS"
"2018-05-22 07:55:38","BNBBTC","SELL","0.0017374","1.1","0.00191114","0.00054691","BNB"
"2018-05-22 01:14:30","BNBBTC","BUY","0.0016999","1.1","0.00186989","0.00055","BNB"
"2018-05-21 23:21:39","BNBBTC","SELL","0.0017374","1.1","0.00191114","0.00054723","BNB"
"2018-05-21 21:55:36","BNBBTC","BUY","0.0016999","1.1","0.00186989","0.00055","BNB"
"2018-05-21 18:18:20","BNBBTC","SELL","0.001736","25.48","0.04423328","0.01274351","BNB"
"2018-05-20 16:30:53","BNBBTC","BUY","0.0016133","2.42","0.00390418","0.00121","BNB"
"2018-05-20 16:19:26","BNBBTC","BUY","0.0016267","2.28","0.00370887","0.00114","BNB"
"2018-05-20 16:05:34","BNBBTC","BUY","0.0016402","2.16","0.00354283","0.00108","BNB"
"2018-05-20 03:12:47","BNBBTC","BUY","0.0016536","2.04","0.00337334","0.00102","BNB"
"2018-05-20 02:42:22","BNBBTC","BUY","0.0016671","1.93","0.00321750","0.000965","BNB"
"2018-05-20 02:23:02","BNBBTC","BUY","0.0016805","1.82","0.00305851","0.00091","BNB"
"2018-05-19 16:24:10","BNBBTC","BUY","0.001694","1.72","0.00291368","0.00086","BNB"
"2018-05-19 14:29:05","BNBBTC","BUY","0.0017074","1.62","0.00276598","0.00162","BNB"
"2018-05-19 13:46:18","BNBBTC","BUY","0.0017208","1.53","0.00263282","0.00153","BNB"
"2018-05-19 13:32:42","BNBBTC","BUY","0.0017343","1.45","0.00251473","0.00145","BNB"
